heure,timestamp,ax(g),ay(g),az(g),gx(deg/s),gy(deg/s),gz(deg/s),roll(deg),pitch(deg),yaw(deg)
14:19:25.279,398.903802,0.2354,-0.3501,1.1421,5.2490,-7.9346,-23.6206,2.1368,-12.0959,1.3513
14:19:25.379,399.003700,-0.0054,-0.1763,1.2095,9.8877,8.6670,-13.7939,1.5985,-12.5134,-0.4175
14:19:25.479,399.103758,0.2778,-0.2852,1.0122,-0.0610,-14.8315,-20.0195,0.4504,-12.4310,-2.1863
14:19:25.579,399.203679,0.4038,-0.2832,0.9561,-14.4043,-0.6714,-16.9678,-0.5109,-12.4750,-3.6914
14:19:25.679,399.303633,0.1782,-0.1904,1.0034,11.8408,-1.8311,-19.2261,-0.5658,-12.7551,-5.3394
14:19:25.779,399.403619,0.1006,-0.2803,1.3530,5.2490,-6.1035,-12.8784,-1.5381,-12.4750,-6.7291
14:19:25.879,399.503582,0.2935,-0.2705,0.8804,-22.9492,14.8315,-9.6436,-1.7029,-13.2385,-8.3386
14:19:25.979,399.603504,0.3501,-0.0845,1.0376,-9.3994,6.7749,-13.2446,-2.0984,-13.1836,-9.9152
14:19:26.079,399.703489,0.2700,-0.0259,0.9561,-14.3433,5.3101,-1.0376,-2.5378,-13.7659,-10.8710
14:19:26.179,399.803505,0.2427,-0.0972,0.8965,-22.8882,22.5830,-1.0986,-2.9718,-13.3539,-11.9586
14:19:26.279,399.903448,0.2593,-0.1240,1.0093,-5.3101,-5.9814,-21.4844,-3.1311,-13.4033,-13.5297
14:19:26.379,400.003467,0.1997,-0.1719,1.3486,-9.8267,12.7563,-17.0288,-3.7738,-13.5406,-14.8645
14:19:26.479,400.103487,0.1357,-0.0952,1.3584,-20.9351,43.2739,-2.0752,-4.2462,-13.8263,-16.1005
14:19:26.579,400.203419,0.3042,0.0298,0.8271,-21.7285,6.2866,5.9814,-4.1858,-14.2822,-17.4023
14:19:26.679,400.303322,0.1753,-0.0830,1.0039,2.0752,5.0659,-22.0337,-4.6033,-14.1779,-18.1879
14:19:26.779,400.403293,0.0747,-0.1753,1.2246,-4.8828,-5.1270,-13.7939,-4.9438,-14.2657,-19.3030
14:19:26.879,400.503271,0.1528,-0.1431,1.0508,0.6714,3.1738,-8.3008,-5.5426,-14.5624,-20.0775
14:19:26.979,400.603241,0.2827,-0.2295,0.9810,-3.5400,-7.5684,-12.8784,-5.3284,-14.8425,-21.4014
14:19:27.079,400.703212,0.1567,-0.1772,0.9214,3.1738,-1.9531,-0.2441,-5.9326,-14.8700,-21.9232
14:19:27.179,400.803185,0.2104,-0.1548,1.0249,-7.5684,-12.3901,-6.7139,-6.1469,-15.1776,-22.4231
14:19:27.279,400.903212,0.0933,-0.0796,1.1890,-5.1270,24.1089,-10.3760,-6.5039,-14.9084,-23.0823
14:19:27.379,401.003183,0.2588,-0.1143,1.0698,3.8452,9.9487,-3.4180,-6.5094,-14.6722,-23.6810
14:19:27.479,401.103219,0.2217,-0.0703,0.9497,-1.2207,14.9536,-0.6714,-6.1084,-14.4031,-24.3732
14:19:27.579,401.203158,0.2837,-0.0791,0.9536,3.5400,-0.9155,1.2817,-5.6415,-14.7491,-24.8621
14:19:27.678,401.303078,0.1738,-0.0776,0.9985,4.5166,-3.2349,-5.8594,-5.4822,-14.8810,-25.3180
14:19:27.778,401.403063,0.1802,0.0146,0.8770,-2.7466,0.0000,2.9297,-5.4053,-15.1831,-25.3949
14:19:27.878,401.503045,0.2598,-0.0391,1.0073,12.7563,1.5259,-10.1318,-5.3394,-14.6173,-25.1257
14:19:27.978,401.602970,0.0493,0.0322,0.9492,-11.8408,-7.8125,13.8550,-5.4987,-14.4525,-24.4940
14:19:28.078,401.702946,0.1221,0.0659,1.1816,-1.7700,-5.7373,-5.6152,-5.2240,-13.8208,-24.5105
14:19:28.178,401.802897,0.2896,-0.0830,1.3667,-2.6855,15.1367,-18.5547,-5.0592,-13.6780,-25.2026
14:19:28.278,401.902888,0.1597,-0.1123,0.8130,-29.6631,15.1367,-4.6387,-4.8450,-14.1284,-25.9991
14:19:28.378,402.002847,0.2803,-0.0376,1.0962,-6.5918,4.0283,-5.9814,-4.8230,-13.4528,-27.0868
14:19:28.478,402.102899,0.3071,-0.0508,1.0947,-7.7515,5.0659,-5.4321,-4.5483,-13.7000,-27.6801
14:19:28.578,402.202875,0.3301,-0.0430,1.0493,10.0708,-24.8413,-6.5918,-3.9935,-13.9636,-27.8778
14:19:28.678,402.302773,0.1694,-0.0928,1.0811,-29.8462,10.9863,7.6904,-4.3781,-14.0131,-27.4658
14:19:28.778,402.402729,0.0908,0.0283,1.3281,3.2349,-12.5122,-5.0049,-3.7024,-14.2438,-27.7185
14:19:28.878,402.502725,0.3384,-0.0610,1.2329,-35.7056,14.3433,-10.9253,-3.7573,-14.6283,-28.2678
14:19:28.978,402.602674,0.1646,0.0020,1.3472,-4.3945,-7.6904,9.2773,-3.7573,-14.6063,-27.9492
14:19:29.078,402.702630,0.0752,0.2808,1.0776,-8.7280,5.2490,4.6387,-3.4058,-14.7162,-27.9382
14:19:29.178,402.802588,0.2051,0.0571,1.2646,-9.8267,28.0151,-15.0146,-3.5760,-14.7327,-27.1582
14:19:29.278,402.902570,0.0791,0.1050,0.4209,-45.9595,53.7720,-4.6997,-3.6475,-16.2158,-26.6034
14:19:29.378,403.002577,0.0649,0.0400,1.3530,-19.5923,0.3662,-8.4839,-2.5983,-16.6937,-26.8726
14:19:29.478,403.102637,0.3950,-0.0195,1.5464,-37.5977,56.0913,-1.2207,-3.0542,-17.1167,-25.9058
14:19:29.578,403.202580,0.3667,-0.0303,1.1289,-9.5825,6.8359,40.7104,-6.1578,-15.5786,-25.2081
14:19:29.678,403.302512,0.3076,-0.0186,0.8062,32.1045,57.3730,-19.8975,-5.6195,-16.0675,-25.5322
14:19:29.778,403.402476,0.1934,0.5278,0.5024,-171.5088,31.0059,14.6484,1.2689,-12.7881,-24.8785
14:19:29.878,403.502462,0.1670,0.0537,1.1631,-0.7935,75.9888,-78.4302,-1.9775,-11.6565,-23.8953
14:19:29.978,403.602448,0.0659,0.0947,0.6177,-121.2769,37.9639,-14.7095,-0.6702,-11.2390,-29.2841
14:19:30.078,403.702370,-0.0737,0.1050,0.9194,27.5269,-14.5874,-7.5684,-0.8075,-8.5968,-29.9487
14:19:30.178,403.802333,0.4766,-0.0015,0.9512,10.1318,3.3569,5.2490,-1.4722,-8.0969,-29.3555
14:19:30.278,403.902297,-0.0093,0.1113,1.1016,-22.8271,35.9497,10.6201,-1.0547,-7.4982,-29.1907
14:19:30.378,404.002290,-0.0156,0.1255,1.0288,15.7471,37.2314,5.8594,-0.3955,-7.1851,-29.1797
14:19:30.478,404.102331,0.0708,0.1367,0.7905,-3.5400,-51.3916,-7.2021,0.4449,-6.1963,-29.2621
14:19:30.578,404.202267,0.1973,-0.0146,1.1792,14.7095,27.1606,-10.2539,0.7471,-5.8777,-29.0039
14:19:30.678,404.302202,0.0503,0.0737,1.4326,13.1836,31.6162,8.3008,0.7141,-5.7349,-29.3774
14:19:30.778,404.402188,0.0913,0.1270,0.4717,-13.2446,10.3149,-0.5493,1.3019,-6.0754,-29.5862
14:19:30.878,404.502256,0.1782,0.0732,0.5522,-16.1743,11.5356,6.7139,1.2469,-5.6635,-29.3774
14:19:30.978,404.602130,-0.0107,0.0869,1.2534,-12.9395,4.6387,6.7139,1.0712,-5.3888,-29.5312
14:19:31.077,404.702107,0.2900,0.0493,0.7520,-12.7563,-5.9814,-3.6011,1.4996,-4.6802,-29.5367
14:19:31.177,404.802052,0.1494,0.0298,1.5532,-3.0518,15.5029,4.8218,1.3843,-3.9496,-29.7455
14:19:31.277,404.902085,-0.0625,0.0830,1.0728,-16.9067,40.8936,-1.4038,1.6260,-4.4110,-30.0806
14:19:31.377,405.002026,0.2046,0.0835,0.7051,2.7466,-6.7749,-1.0376,1.4557,-3.6310,-29.8499
14:19:31.477,405.102065,-0.0977,0.0967,0.6040,-11.8408,38.2690,9.2163,1.9501,-4.2627,-30.3497
14:19:31.577,405.201990,0.0835,0.1714,0.7471,3.0518,-1.0376,-9.5215,2.1698,-3.4497,-30.6134
14:19:31.677,405.301928,0.0112,0.0513,1.2578,-7.6294,-15.4419,4.3945,1.9336,-3.6859,-30.6189
14:19:31.777,405.401907,0.1147,0.1099,1.0142,8.1787,6.3477,1.7090,1.8622,-3.0487,-30.6573
14:19:31.877,405.501876,0.0166,0.0757,0.7925,-5.6763,4.3945,4.2725,2.3785,-4.0155,-30.7782
14:19:31.977,405.601854,0.2021,0.1055,0.8032,-6.8970,-21.4233,-2.3193,3.0762,-3.5431,-30.9045
14:19:32.077,405.701838,0.1406,0.0293,1.0737,16.2354,17.6392,-4.5166,2.9169,-3.5815,-31.1353
14:19:32.177,405.801775,0.1987,0.0029,0.7856,-3.5400,-1.9531,1.5869,2.9443,-3.5541,-31.5198
14:19:32.277,405.901725,-0.0044,0.0098,1.1519,-6.4087,-2.1362,-3.4180,2.4994,-3.4717,-31.7450
14:19:32.377,406.001685,-0.1011,0.0771,0.8892,-5.9814,-7.3242,-4.9438,2.8125,-4.0375,-32.3547
14:19:32.477,406.101798,-0.0391,0.0513,1.2363,2.6855,-22.4609,-18.4326,2.4335,-4.6252,-32.8656
14:19:32.577,406.201667,0.1128,-0.0366,1.2070,22.2778,11.2305,-0.3052,2.4609,-4.2847,-33.7775
14:19:32.677,406.301616,0.0991,0.0674,1.1929,-8.6670,-15.1367,-1.4648,1.8567,-4.2847,-33.1897
14:19:32.777,406.401579,0.0391,0.0405,0.8901,0.4272,-18.2495,29.4189,2.7081,-4.9109,-34.9365
14:19:32.877,406.501533,0.0767,0.1011,1.0669,-7.8735,1.5869,-3.6011,2.2467,-5.1416,-34.2773
14:19:32.977,406.601528,0.0620,-0.0547,0.9692,14.5264,17.3950,26.7334,2.1039,-6.1853,-33.4314
14:19:33.077,406.701488,-0.0493,-0.5371,0.7354,72.7539,-31.8604,41.3208,3.0432,-8.3386,-29.4598
14:19:33.177,406.801444,0.1655,0.0874,0.5728,-70.7397,47.3633,14.8926,4.6967,-9.8053,-24.8676
14:19:33.277,406.901428,0.1694,0.4688,1.5796,-116.0889,76.2329,-12.0239,6.5424,-8.4210,-25.8673
14:19:33.377,407.001380,-0.1646,-0.0928,0.6445,106.2622,-46.5698,-34.9121,7.3059,-9.3549,-26.5704
14:19:33.477,407.101526,0.2236,0.1006,1.2925,-125.4883,88.9282,24.1089,2.6532,-6.1798,-25.9552
14:19:33.577,407.201345,0.0332,0.1299,0.8701,20.4468,-4.9438,16.9067,4.2517,-7.0203,-24.7192
14:19:33.677,407.301259,0.0488,0.2202,1.0361,1.8921,12.6343,5.1880,3.8452,-5.9381,-22.9669
14:19:33.777,407.401271,0.0127,-0.0352,0.9741,3.9673,30.9448,20.3247,2.1753,-3.0048,-20.1544
14:19:33.877,407.501211,0.1743,-0.0649,0.9624,-2.3193,5.9814,47.4854,2.0215,-2.3676,-17.9187
14:19:33.977,407.601128,-0.0347,0.1021,0.7207,-7.2632,-0.8545,0.0000,2.3291,-2.4994,-17.4628
14:19:34.077,407.701143,-0.0898,0.0708,0.8569,17.2729,-25.5127,-0.6714,2.7795,-2.3016,-17.3914
14:19:34.177,407.801107,0.0400,0.0410,1.0181,26.9165,-9.5825,-0.7324,3.0103,-2.5653,-17.5177
14:19:34.276,407.901075,0.1069,0.0913,1.0635,9.7656,4.6997,-1.2207,2.4060,-2.4884,-17.7374
14:19:34.376,408.001021,0.0166,0.0005,0.8091,3.2349,-5.0049,-1.1597,3.0157,-2.6862,-18.1879
14:19:34.476,408.101104,0.0269,0.0249,0.9136,6.8359,2.5635,1.9531,3.0048,-2.4170,-18.3966
14:19:34.576,408.201018,0.0649,0.0571,1.1895,-0.8545,0.5493,7.0801,2.4280,-2.3126,-18.4570
14:19:34.676,408.300939,-0.0337,0.0352,1.0425,-14.4043,3.7231,8.9111,2.4884,-2.0544,-18.4296
14:19:34.776,408.400908,-0.0752,0.0928,0.9282,0.6714,1.4648,-8.3618,2.4445,-1.6864,-18.7482
14:19:34.876,408.500889,0.1440,-0.0483,1.0825,0.5493,2.4414,-9.0332,2.2742,-1.3788,-18.8086
14:19:34.976,408.600870,0.0161,-0.1484,0.9946,-3.1738,-2.1973,-7.3853,1.6974,-1.6150,-19.6545
14:19:35.076,408.700886,-0.0830,-0.0596,1.0166,-19.7144,-0.8545,3.0518,1.8896,-1.3733,-20.5829
14:19:35.176,408.800807,0.0625,0.0264,1.0142,0.9155,-1.1597,4.7607,1.9556,-1.4227,-20.5774
14:19:35.276,408.900783,0.1655,0.0605,1.1396,-13.7329,-4.5166,5.1270,1.8677,-1.2854,-20.1270
14:19:35.376,409.000742,-0.0752,0.0371,1.1230,-14.0991,-6.2256,5.8594,2.1643,-1.2305,-20.8136
14:19:35.476,409.100795,0.1138,-0.0205,1.0933,-5.2490,-8.5449,-7.3853,1.9116,-1.1261,-20.5664
14:19:35.576,409.200741,0.0483,-0.0347,0.9272,7.0801,-8.1787,-1.1597,1.8237,-1.0217,-20.7367
14:19:35.676,409.300676,0.0342,0.0015,1.1270,2.8076,-4.8828,2.5635,2.0709,-0.8569,-21.0773
14:19:35.776,409.400611,0.2607,-0.0200,1.2598,1.5869,-5.3711,-9.3384,1.4722,-1.0767,-21.2311
14:19:35.876,409.500577,0.0649,-0.0312,1.1855,-13.6108,2.5024,5.0049,0.8954,-0.8240,-21.0828
14:19:35.976,409.600549,-0.0449,0.0674,1.1836,-24.5361,0.7324,1.6479,0.7635,-0.9503,-21.2860
14:19:36.076,409.700552,-0.1470,0.0801,0.8892,21.4844,7.6904,-4.2114,1.6095,-0.4669,-21.4948
14:19:36.176,409.800502,0.1777,-0.0347,0.9946,41.6260,9.3384,-19.2871,0.9229,-0.6592,-21.0168
14:19:36.276,409.900474,0.0151,-0.0459,0.9033,-21.3013,-5.1880,17.2119,0.0604,-1.0767,-20.5829
14:19:36.376,410.000530,0.0371,0.0054,0.8267,-29.2969,-14.2212,30.1514,1.3129,-1.6260,-21.6870
14:19:36.476,410.100555,0.2378,-0.0190,1.3218,13.9160,-15.0146,-14.7705,0.7526,-1.4996,-21.7749
14:19:36.576,410.200449,0.1426,-0.1274,0.8115,7.5073,-6.5918,-1.8921,0.4285,-1.7084,-21.6705
14:19:36.676,410.300370,0.0044,-0.0996,1.1182,1.0376,-3.7842,-4.8218,-0.0385,-1.4447,-22.1814
14:19:36.776,410.400338,0.1099,-0.1099,1.0005,4.5776,1.5869,-2.4414,-0.1208,-1.4612,-22.5275
14:19:36.876,410.500324,0.0723,-0.0605,0.9004,5.4932,-1.0986,1.0986,0.0110,-1.3843,-22.7087
14:19:36.976,410.600264,0.0903,-0.0859,1.0288,3.2959,-1.1597,-1.3428,-0.2252,-1.3403,-23.0603
14:19:37.076,410.700251,0.0259,-0.0625,0.9429,-5.6152,-3.3569,-2.1973,-0.7526,-1.2689,-23.2306
14:19:37.176,410.800222,-0.3696,-0.0337,0.8701,-4.0283,-6.0425,7.5684,-0.5273,-1.0712,-23.3569
14:19:37.276,410.900181,-0.0186,-0.2539,0.9692,22.5220,-13.3057,-9.7656,-0.0549,-0.6757,-24.2303
14:19:37.376,411.000175,-0.3535,-0.2139,1.0225,32.2266,-5.2490,-14.9536,-0.5493,-0.5878,-25.2081
14:19:37.476,411.100512,-0.0781,-0.3232,1.2441,-1.0376,1.9531,-25.9399,-1.4172,-0.3790,-26.5210
14:19:37.575,411.200187,-0.0693,-0.2847,0.8989,-11.9629,-9.5215,-8.0566,-1.3623,-0.1263,-27.4384
14:19:37.675,411.299992,-0.2007,-0.2007,0.9888,20.5688,-17.2119,-7.5073,-1.3348,-0.1154,-29.0863
